sample pop cont Fped Fas Fhom Funi.un Funi.we FROHs.BCFTools.100KB FROHs.PLINK.100KB FROHs.BCFTools.1MB FROHs.PLINK.1MB
1 NA NA 0 -0.00818949529371444 -0.00823196864677844 0.00416216832369796 0.0123461241448565 0.053639425 0.05992 0 0
2 NA NA 0 -0.0308031389959467 -0.0308465650243532 0.00427132749740781 0.00345172760988075 0.056615075 0.063123 0.006991585 0.00701055
3 NA NA 0 -0.0224597473937733 -0.022502821928915 0.00425318146436907 0.00388786523029033 0.05036441 0.0523585 0 0
4 NA NA 0 -0.0292769088248167 -0.0293202705556754 0.00343240466073027 0.00312298463710125 0.04465192 0.0512365 0 0
5 NA NA 0 -0.0239351032258641 -0.0239782399153035 0.00104057505855321 0.00110952139678115 0.056992125 0.0642625 0 0
6 NA NA 0 -0.00427217118781516 -0.00431447951050568 0.0209797203944002 0.0126539654766082 0.065796955 0.072738 0.011654155 0.01182155
7 NA NA 0 -0.015604430208451 -0.0156472159404377 0.00245198976908868 0.007083289336998 0.04671871 0.0512435 0 0
8 NA NA 0 -0.00780793775093146 -0.00785039502960894 0.00767932418223965 0.0144108446730717 0.06435375 0.0726235 0 0
9 NA NA 0 -0.00321652865278458 -0.00325879250300365 0.0145455284829684 0.0148851321884216 0.062859055 0.075326 0.02186109 0.0219172
10 NA NA 0 -0.0183516445164826 -0.0183945459840575 -0.00110240830252869 0.00356691543890142 0.04829971 0.0554455 0 0
11 NA NA 0 -0.00437391986589013 -0.00441623247508427 0.00364622010072662 0.0122796687665626 0.057508025 0.060817 0 0
12 NA NA 0 -0.026593287440581 -0.0266365361149172 0.00225300241108634 -0.002006184203052 0.050361365 0.054984 0.005134035 0.0051718
13 NA NA 0 0.0144241484085179 0.0143826277307963 0.012381670055651 0.0305453243231036 0.07005112 0.07488 0 0
14 NA NA 0 -0.00943591660013652 -0.00947844246286533 0.010431549314539 0.0143228401775519 0.06314521 0.066605 0.01053591 0.0103996
15 NA NA 0 -0.0217602252320051 -0.0218032702974378 -0.000193253065700359 0.00857312780233791 0.05375654 0.0570365 0 0
16 NA NA 0 -0.0181354285755723 -0.0181783209343283 0.0363305586477516 0.0109049423957952 0.05880305 0.065507 0.014742235 0.0148405
17 NA NA 0 -0.020094090628521 -0.0201370655024646 0.00891935680619192 0.00502258166785634 0.04485791 0.04929355 0.00678552 0.00690105
18 NA NA 0 -0.030396144283645 -0.0304395531660391 -0.00173879605310392 -0.00933437848186491 0.056829735 0.067126 0 0
19 NA NA 0 -0.00832939972606845 -0.00837187897307379 0.0126827440027857 0.0144278635902749 0.05842415 0.0696255 0.00520212 0.00522735
20 NA NA 0 -0.0286282610020878 -0.0286715954064873 -0.000280292697807527 0.000301413500573536 0.045895005 0.0492796 0 0
21 NA NA 0 -0.0160368620902714 -0.0160796660398963 0.0520340678424144 0.0131365773811687 0.05880724 0.0626395 0.005161175 0.0051786
22 NA NA 0 0.0114479995748158 0.0114063535168748 0.0147144560224881 0.0290253318138641 0.070830185 0.0785615 0.01215761 0.0124814
23 NA NA 0 -0.0258683281092959 -0.0259115462422952 -0.00468304260022459 -0.00416807629506932 0.04217982 0.049366 0 0
24 NA NA 0 -0.0110766140341 -0.0111192090166938 0.00485673818133195 0.00842318746172331 0.05544219 0.064374 0.00527332 0.0052928
25 NA NA 0 -0.0424279254660472 -0.0424718412274483 0.0069918673116923 0.00293253170009816 0.04454059 0.0514495 0 0
26 NA NA 0 -0.0032928401613408 -0.00333510722643737 -0.000501258901634616 0.00968143958453264 0.063184345 0.067642 0 0
27 NA NA 0 -0.0128317787308988 -0.0128744476556732 0.000360465784328525 0.00777876944187142 0.056644525 0.061429 0 0
28 NA NA 0 -0.00802415369184169 -0.00806662007933845 0.00438972894259505 0.0111862478702442 0.059931295 0.0664525 0.00817124 0.0081888
29 NA NA 0 -0.00359808619556756 -0.00364036612017293 0.0215154431571089 0.0190546346345983 0.065540315 0.07616 0.01614427 0.0163164
30 NA NA 0 -0.0201831207218394 -0.0202260993464707 -0.000365740449702782 0.000175062840557454 0.049402495 0.055963 0.006570105 0.0065743
31 NA NA 0 -0.0141163557915999 -0.0141590788334769 0.0118185740834144 0.0162081073973569 0.05641929 0.0642695 0.008030215 0.00803175
32 NA NA 0 -0.0208317685445683 -0.0208747744956588 -0.00110406570246664 0.00250252216990057 0.05958296 0.060897 0.00666608 0.00667185
33 NA NA 0 -0.0191147596020485 -0.0191576932183963 0.00451807994969168 0.00643931185696467 0.060231905 0.0659815 0 0
34 NA NA 0 -0.00818949529371444 -0.00823196864677844 0.00659809722382778 0.00963567251079265 0.057231025 0.0600485 0.006493405 0.00650735
35 NA NA 0 -0.0235662642678414 -0.0236093854187063 -0.00115868426675098 0.00137004576531024 0.047403245 0.0504175 0 0
36 NA NA 0 -0.0166727913282419 -0.0167156220685121 0.00758372123217062 0.0123276758732783 0.063654275 0.0730835 0.009559595 0.0095753
37 NA NA 0 -0.00934688650682184 -0.00938940861885906 0.00865301372251575 0.0195567326926824 0.06759854 0.07074 0.006432095 0.00662725
38 NA NA 0 -0.00620539607124698 -0.00624778583749741 0.00672599410894001 0.0088447456675084 0.060730785 0.0674105 0 0
39 NA NA 0 -0.0276107742213344 -0.0276540657607023 0.00165900587925038 -0.00768477233124145 0.04556514 0.053564 0 0
40 NA NA 0 0.00941302601330896 0.00937129422530447 0.0533694673272013 0.034921185007093 0.09270749 0.1004405 0.03485458 0.0348969
41 NA NA 0 -0.0237697616239913 -0.0238128913478635 0.0046314686678265 0.0101141627546779 0.05430705 0.0588725 0 0
42 NA NA 0 -0.0209335172226432 -0.0209765274602374 0.0128107065124239 0.0096280521319459 0.05619709 0.0640675 0.01150867 0.01154
43 NA NA 0 -0.0153882142675407 -0.0154309908907082 -0.0062678835931713 -0.00449373015570712 0.043739235 0.051978 0 0
44 NA NA 0 0.00388044164296676 0.00383847677634774 0.017754321241617 0.0310562310441939 0.078456085 0.0851755 0.011018645 0.01109975
45 NA NA 0 -0.0161640479378633 -0.0162068572456195 0.00393579181841594 0.00763148514035654 0.066961395 0.0689775 0 0
46 NA NA 0 -0.0183516445164826 -0.0183945459840575 0.00190322292571707 0.00316050412276131 0.04762873 0.0562065 0 0
47 NA NA 0 -0.0217475066472449 -0.0217905511768655 -0.00124602497493357 0.00472983495831345 0.047143295 0.057403 0 0
48 NA NA 0 -0.0282721406288236 -0.0283154600304627 0.00232031977383834 -0.00460775743430993 0.055347815 0.0637555 0 0
49 NA NA 0 -0.000978057735127845 -0.00102022728227635 0.0101098134115681 0.0182599786697508 0.060037985 0.062 0 0
50 NA NA 0 0.0252476640387751 0.0252065993378358 0.0447604783268145 0.0501382378182929 0.092994465 0.0992195 0.049052815 0.0490563
51 NA NA 0 0.0190537132609438 0.0190123876191187 0.0267048727505913 0.0364005785186721 0.079366605 0.0837165 0.025553925 0.02546675
52 NA NA 0 0.00983273931037098 0.00979102520419084 0.0156069795621874 0.0313727338367849 0.072731435 0.0758 0 0
53 NA NA 0 -0.0173214391509707 -0.0173642972177002 0.00484327417047085 0.00980624142174841 0.06018563 0.067132 0.01306218 0.0128581
54 NA NA 0 -0.0232610182336165 -0.0233041265249707 0.0176535340375052 -0.0016128056121008 0.053742615 0.0596755 0.00609631 0.0061123
55 NA NA 0 -0.030459737207441 -0.0305031487689007 -0.00338178550257765 -0.0036439885799408 0.05728501 0.057788 0 0
56 NA NA 0 -0.0148285965381266 -0.0148713495855264 0.0130113603999836 0.0159747482287285 0.061412075 0.0669175 0.00787438 0.0078872
57 NA NA 0 -0.0339955037705591 -0.034039064288004 -0.00393447091759557 -0.00375549208805769 0.039561205 0.04761875 0 0
58 NA NA 0 -0.000532907268548926 -0.000575058062245226 0.0114726567551312 0.026573705323315 0.07739505 0.0831125 0.00508691 0.0051376
59 NA NA 0 -0.0104279662113693 -0.0104705338675057 0.00982415374776711 0.0140432584618117 0.05615518 0.0601385 0.006845245 0.0068561
60 NA NA 0 -0.015222872665668 -0.0152656423232682 0.00594357153019226 0.0105089034990148 0.055814345 0.06195 0 0
61 NA NA 0 -0.0313373195558422 -0.0313807680883904 -0.0029475240148285 0.000213048466412929 0.049449995 0.0542875 0 0
62 NA NA 0 0.0101252667598374 0.0100835649773541 0.0101393500772954 0.0270559012217514 0.06405378 0.071609 0 0.00504205
63 NA NA 0 -0.0276234928060947 -0.0276667848812746 0.00142901468945682 0.00583313440005453 0.059936785 0.065841 0 0.0050084
64 NA NA 0 -0.00757900322526277 -0.00762145085930732 0.00193818514123161 0.0114253628569378 0.054303235 0.0651995 0 0
