sample pop cont Fas.c Fas.w Funi.un.c Funi.un.w Funi.we.c Funi.we.w FROHs.BCFTools.100KB.c FROHs.BCFTools.100KB.w FROHs.PLINK.100KB.c FROHs.PLINK.100KB.w FROHs.BCFTools.1MB.c FROHs.BCFTools.1MB.w FROHs.PLINK.1MB.c FROHs.PLINK.1MB.w
HG00513 CHS EAS 0.025440282411455 0.223952389435585 0.00924614627056031 0.014834121046066 0.00930355399851271 0.102965117591058 0.2170203478125 0.2170509709375 0.2648784375 0.26508875 0.0132817990625 0.0132817990625 0.00831328125 0.0083133125
HG00524 CHS EAS 0.00328506105970516 0.20631005692251 -0.00722434659696873 0.0107709736123902 -0.00726920131655833 0.0870923400941659 0.2124422090625 0.2124067278125 0.259255625 0.2594134375 0.0145255384375 0.0145255384375 0.008240625 0.008240625
HG00525 CHS EAS 0.0161053820632171 0.21651895361902 0.0177221732032772 0.0166820078784221 0.0178322071221645 0.10417897269133 0.2161950115625 0.216195485625 0.2636184375 0.2639196875 0.032013573125 0.032013573125 0.01490765625 0.01490765625
HG00530 CHS EAS 0.025698369630757 0.224157905799789 0.00948762849771742 0.0108465731464731 0.00954653554633683 0.101420580410553 0.2241490728125 0.2241494209375 0.26650375 0.26656125 0.0157203028125 0.0157203028125 0.00537703125 0.00537703125
HG00531 CHS EAS 0.0227848185365557 0.221837828000445 0.00529701478983789 0.0109221024875465 0.00532990303991313 0.0984824468031477 0.2156199009375 0.2156227209375 0.2630853125 0.2632865625 0.009006986875 0.009006986875 0.00519090625 0.00519090625
HG00533 CHS EAS 0.0196653944003705 0.219353812292084 0.00591998149153785 0.0124785489432961 0.00595673763497124 0.0986916791383314 0.2196952840625 0.219695191875 0.2665609375 0.2667415625 0.0140194509375 0.0140194509375 0.0054208125 0.0054208125
HG00534 CHS EAS 0.000813590000110146 0.204342010043731 -0.00670078185726643 0.0107727390442416 -0.00674238585378036 0.088338841801806 0.2116385678125 0.2116379271875 0.257345 0.257475625 0.017576446875 0.017576446875 0.007642375 0.0076426875
HG00536 CHS EAS 0.00436763500271129 0.20717211689335 0.00259664533915149 0.0121298626657476 0.00261276746145263 0.0963055839309737 0.2120514578125 0.21205065375 0.256899375 0.257151875 0.01505904375 0.01505904375 0.005932625 0.005932625
HG00537 CHS EAS 0.0163550155585724 0.216717738233335 0.000487150902056416 0.0130877946934405 0.000490175537962039 0.0964627414515019 0.2192678803125 0.2192671078125 0.2623559375 0.262461875 0.01693956 0.01693956 0.0083123125 0.0083123125
HG00542 CHS EAS 0.0218404878439675 0.221085851939524 0.00179420893325512 0.00962515692818726 0.00180534886715806 0.0992588607746476 0.2126440284375 0.212642781875 0.2645765625 0.264629375 0.0101117409375 0.0101117409375 0.0046123125 0.0046123125
HG00543 CHS EAS -0.00148880658056129 0.202508598162706 -0.0065886293405517 0.0117366382970023 -0.00662953700320585 0.0883698864089345 0.20564256125 0.2056425746875 0.253993125 0.2542034375 0.0098175953125 0.0098175953125 0.00344359375 0.00344359375
HG00556 CHS EAS 0.00860991259012094 0.210550267380843 0.00225319326204664 0.00904580982382763 0.00226718294962371 0.0947532159619764 0.205315400625 0.2053155865625 0.2553603125 0.255478125 0.008606306875 0.008606306875 0.00422034375 0.0045369375
HG00557 CHS EAS 0.00268534393739812 0.205832498665807 0.00158137940049342 0.0138261359204611 0.00159119791247398 0.0958542315939609 0.208120233125 0.2081194946875 0.2523525 0.2523325 0.013056305625 0.013056305625 0.004258125 0.004258125
HG00559 CHS EAS 0.019581851716665 0.21928728676379 0.00562323534655334 0.0129445653192905 0.00565814904708815 0.0983883330852891 0.2167042690625 0.2167057140625 0.265180625 0.2653625 0.0112293490625 0.0112293490625 0.008900625 0.00890146875
HG00560 CHS EAS 0.0125120521081588 0.213657563931693 -0.00318834839380866 0.0116858926781239 -0.00320814429962068 0.0928256827254107 0.2139197221875 0.21392339625 0.2591721875 0.2593215625 0.0106568521875 0.0106568521875 0.00403134375 0.00403134375
HG00565 CHS EAS 0.0106174233884276 0.212148859986393 -0.00260639086573095 0.0121712455432357 -0.00262257349720538 0.0937966785121319 0.216506899375 0.216507173125 0.261469375 0.2618403125 0.013082455 0.013082455 0.007274375 0.007274375
HG00566 CHS EAS 0.0251588231318305 0.223728261762875 0.00852901906077898 0.0131360711590387 0.00858197426923707 0.102230222442114 0.223860825625 0.2238293659375 0.26636375 0.2665446875 0.016529264375 0.016529264375 0.00660815625 0.00660815625
