sample pop cont Fas.c Fas.w Funi.un.c Funi.un.w Funi.we.c Funi.we.w FROHs.BCFTools.100KB.c FROHs.BCFTools.100KB.w FROHs.PLINK.100KB.c FROHs.PLINK.100KB.w FROHs.BCFTools.1MB.c FROHs.BCFTools.1MB.w FROHs.PLINK.1MB.c FROHs.PLINK.1MB.w
HG02281 ACB AFR -0.00340679151343586 -0.134763950742318 0.000725631297446397 0.0280889342443192 0.000725631297037022 0.141954309008771 0.06236914375 0.062369141875 0.081785625 0.0818359375 0.00510024625 0.00510024625 0.000785465625 0.000785465625
HG02282 ACB AFR -0.000223604065031709 -0.131164048493842 0.000660836499543685 0.02042034908336 0.00066083649952136 0.0780293979824303 0.053708281875 0.0536769859375 0.07922625 0.07930625 0.0054631240625 0.0054631240625 0.000805715625 0.0007915125
HG02283 ACB AFR -0.00349817991119786 -0.134867302902355 0.00609879388381431 0.0192009046262548 0.00609879388773253 0.0809828761833616 0.055944353125 0.0559442203125 0.08061 0.080854375 0.00300479625 0.00300479625 0.001061121875 0.001061121875
HG02284 ACB AFR -0.000195942442721557 -0.131132765656133 -0.00246716687532112 0.0244127958861698 -0.00246716687508157 0.0895080621827291 0.05551351 0.0555135740625 0.080411875 0.0805646875 0.0031196621875 0.0031196621875 0.00140414375 0.00140414375
HG02307 ACB AFR 0.00342737993282648 -0.127035109901292 -0.000477551236460916 0.0228456767554702 -0.000477551236686257 0.126778104404503 0.05867999625 0.0586799440625 0.080648125 0.080968125 0.0027748171875 0.0027748171875 0.00201069375 0.00201069375
HG02308 ACB AFR -0.000863322849350571 -0.131887513614067 -0.00107075880687332 0.018238849305203 -0.00107075880687937 0.110197840862883 0.060318484375 0.060318484375 0.0831684375 0.0832778125 0.004076924375 0.004076924375 0.001359759375 0.001359759375
HG02309 ACB AFR 0.00455100203401995 -0.125764393113769 0.00205824544870295 0.0203453737166444 0.00205824544788482 0.115129941682423 0.060841441875 0.060841450625 0.0842909375 0.0844534375 0.0040114803125 0.0040114803125 0.0018691875 0.0018691875
HG02314 ACB AFR 0.00629543497516584 -0.123791594411546 0.0052223101970359 0.0240671789393476 0.00522231019541641 0.131461258689203 0.061772355625 0.061768339375 0.0831759375 0.0833375 0.00520230375 0.00520230375 0.001091571875 0.001091571875
HG02315 ACB AFR -0.00341869651544368 -0.134777414242098 -0.00209016850487177 0.0186853952865358 -0.00209016850429922 0.100796272945201 0.058634080625 0.05863408375 0.080863125 0.081081875 0.0018267778125 0.0018267778125 0.0003296375 0.0003296375
HG02317 ACB AFR 0.00553841690636599 -0.124647714603079 0.0035645191993431 0.027917053222473 0.00356451919836429 0.134817650389931 0.0624348225 0.0624340375 0.0850296875 0.0851221875 0.005370733125 0.005370733125 0.00308286875 0.00308286875
